Jenis_Koperasi,Kategori_Produk,Nama_Produk_Layanan,Deskripsi,Target_Anggota,Contoh_Koperasi
SIMPAN PINJAM,Simpanan,Simpanan Pokok,Simpanan wajib saat bergabung (tidak bisa ditarik),Semua anggota,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Simpanan Wajib,Simpanan rutin setiap bulan,Semua anggota,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Simpanan Sukarela (Tabungan),Tabungan yang dapat ditarik sewaktu-waktu,Semua anggota,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Simpanan Berjangka (Deposito),Simpanan berjangka dengan bunga lebih tinggi,Anggota dengan dana lebih,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Tabungan Pendidikan,Tabungan khusus untuk biaya pendidikan anak,Orang tua,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Tabungan Haji,Tabungan khusus persiapan ibadah haji,Calon jamaah haji,KSP Sejahtera
SIMPAN PINJAM,Simpanan,Tabungan Qurban,Tabungan khusus untuk qurban,Anggota muslim,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Reguler,Pinjaman dengan bunga kompetitif,Semua anggota,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Konsumtif,Untuk kebutuhan konsumsi pribadi,Anggota perorangan,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Produktif,Untuk modal usaha,Anggota pengusaha,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Pendidikan,Untuk biaya sekolah/kuliah,Orang tua & mahasiswa,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Kesehatan,Untuk biaya berobat darurat,Semua anggota,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Pinjaman Mikro,Pinjaman kecil untuk UMKM,Pedagang kecil,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Kredit Tanpa Agunan (KTA),Pinjaman tanpa jaminan aset,Anggota tetap,KSP Sejahtera
SIMPAN PINJAM,Pinjaman,Kredit Multiguna,Pinjaman untuk berbagai keperluan,Semua anggota,KSP Sejahtera
KONSUMSI,Toko Sembako,Beras,Beras berbagai merk dan kualitas,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Gula Pasir,Gula pasir kemasan,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Minyak Goreng,Minyak goreng curah dan kemasan,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Telur,Telur ayam dan bebek,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Tepung Terigu,Tepung berbagai merk,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Mi Instan,Mi instan berbagai merk,Semua anggota,Koperasi Sekolah
KONSUMSI,Toko Sembako,Susu UHT,Susu kemasan berbagai merk,Semua anggota,Koperasi Sekolah
KONSUMSI,Alat Tulis,Buku Tulis,Buku tulis berbagai ukuran,Siswa/mahasiswa,Koperasi Sekolah
KONSUMSI,Alat Tulis,Pulpen,Pulpen berbagai merk,Siswa/mahasiswa,Koperasi Sekolah
KONSUMSI,Alat Tulis,Pensil,Pensil 2B dan warna,Siswa/mahasiswa,Koperasi Sekolah
KONSUMSI,Alat Tulis,Penghapus & Penggaris,Perlengkapan tulis,Siswa/mahasiswa,Koperasi Sekolah
KONSUMSI,Seragam,Seragam Sekolah,Seragam putih abu-abu,Siswa,Koperasi Sekolah
KONSUMSI,Seragam,Atribut Sekolah,Dasi topi badge,Siswa,Koperasi Sekolah
